1.5,-1.5,1.5,1.5,1.4087,-1.3217,1.3624,1.4989
-0.5,1.5,-0.5,-0.5,-0.66241,1.4023,-0.55553,-0.60347
1.5,-1.5,-0.5,1.5,1.2057,-1.6429,-0.55691,1.5076
1.5,-1.5,1.5,-0.5,1.557,-1.4874,1.3191,-0.65286
-1.5,0.5,1.5,-1.5,-1.4877,0.55627,1.3195,-1.6025
-1.5,-1.5,-0.5,1.5,-1.6611,-1.4643,-0.63546,1.4403
0.5,0.5,-0.5,-0.5,0.37115,0.57384,-0.60881,-0.61323
0.5,1.5,0.5,1.5,0.39943,1.479,0.4551,1.4257
1.5,1.5,1.5,0.5,1.5097,1.4548,1.3775,0.38296
1.5,-1.5,1.5,-0.5,1.4707,-1.642,1.3329,-0.67134
0.5,-1.5,0.5,1.5,0.34661,-1.4212,0.48404,1.5344
1.5,-0.5,1.5,-1.5,1.4548,-0.50472,1.4821,-1.5239
0.5,-1.5,-1.5,0.5,0.38678,-1.3614,-1.6525,0.50399
-0.5,-1.5,-0.5,0.5,-0.5758,-1.5448,-0.66275,0.52348
0.5,0.5,1.5,-0.5,0.29908,0.45067,1.4451,-0.45018
-1.5,-1.5,0.5,-0.5,-1.482,-1.5982,0.39389,-0.50983
0.5,-1.5,0.5,-0.5,0.51305,-1.5002,0.43426,-0.57657
0.5,0.5,-0.5,-0.5,0.37593,0.57294,-0.58251,-0.59502
0.5,-1.5,0.5,-1.5,0.56117,-1.4791,0.30387,-1.6474
0.5,-0.5,0.5,-1.5,0.48457,-0.53136,0.41194,-1.5553
-0.5,1.5,-0.5,-0.5,-0.70166,1.4364,-0.52735,-0.51748
-1.5,-1.5,1.5,-1.5,-1.589,-1.4404,1.3468,-1.6742
1.5,-0.5,0.5,-1.5,1.699,-0.38086,0.45888,-1.5632
0.5,1.5,-0.5,-0.5,0.51169,1.6468,-0.60209,-0.69671
-1.5,1.5,-1.5,-0.5,-1.4732,1.565,-1.7731,-0.33087
0.5,-0.5,-1.5,-1.5,0.44562,-0.31097,-1.7086,-1.451
-0.5,-1.5,-0.5,-1.5,-0.52981,-1.6292,-0.67125,-1.5864
-0.5,1.5,-0.5,0.5,-0.53759,1.5811,-0.49958,0.62035
-0.5,0.5,-0.5,-0.5,-0.47684,0.37779,-0.46885,-0.60802
1.5,-0.5,-0.5,-0.5,1.6675,-0.31167,-0.36479,-0.54732
-1.5,0.5,-0.5,-1.5,-1.6677,0.63059,-0.52271,-1.5483
0.5,-1.5,-0.5,1.5,0.39901,-1.5803,-0.653,1.4015
-1.5,-1.5,-0.5,-1.5,-1.6343,-1.2931,-0.54477,-1.6038
-1.5,0.5,-1.5,1.5,-1.5361,0.5578,-1.2797,1.6638
1.5,1.5,-1.5,0.5,1.4514,1.3717,-1.555,0.60125
